time_step,pac_1,pdc_1,pac_2,pdc_2,pac_3,pdc_3,pac_4,pdc_4,pac_5,pdc_5,pac_6,pdc_6,pac_8,pdc_8,pac_9,pdc_9,pac_10,pdc_10,pac_11,pdc_11,pac_12,pdc_12,pac_13,pdc_13,pac_14,pdc_14,pac_15,pdc_15,pac_16,pdc_16,pac_17,pdc_17,pac_18,pdc_18,pac_19,pdc_19,pac_20,pdc_20,pac_21,pdc_21,pac_22,pdc_22,pac_23,pdc_23,pac_24,pdc_24,pac_25,pdc_25,pac_26,pdc_26,pac_27,pdc_27,pac_28,pdc_28,pac_29,pdc_29,pac_30,pdc_30
1,53.068509334794435,-51.105360746213016,-38.7529686607989,39.81908538514635,35.80408884829155,-34.88875846162869,-5.581438524908402,5.620801734974198,-44.03534864956505,46.053219189589406,-9.010898905861222,9.088305724889095,-5.581438524908402,5.620801734974198,-5.581438524908402,5.620801734974198,-5.581438524908402,5.620801734974198,-5.581438524908402,5.620801734974198,53.068509334794435,-51.105360746213016,-44.03534864956505,46.053219189589406,-44.03534864956505,46.053219189589406,-44.03534864956505,46.053219189589406,-38.7529686607989,39.81908538514635,-9.010898905861222,9.088305724889095,35.80408884829155,-34.88875846162869,35.80408884829155,-34.88875846162869,35.80408884829155,-34.88875846162869,35.80408884829155,-34.88875846162869,35.80408884829155,-34.88875846162869,30.68098173072834,-30.00000029328663,30.680981724514016,-30.000000287335308,30.680981732607126,-30.0000002950859,-29.051710852227362,29.665509707205448,-29.085560651431443,29.700719233968684,-29.20402339678594,29.823952608622214,30.680981722046845,-30.000000286261784,-28.86551060058967,29.47185726059716
2,55.924885459901915,-53.7500005361189,41.20006242321372,-40.00000039353065,-12.464570126590889,12.603482741385891,5.283893165606395,-5.247090197465664,-19.077059119819452,19.356842157977212,-28.946767870318425,29.841338310747965,5.283893165606395,-5.247090197465664,5.283893165606394,-5.247090197465663,5.283893165606394,-5.247090197465663,5.283893165606394,-5.247090197465663,55.924885459901915,-53.7500005361189,-19.077059119819452,19.356842157977212,-19.077059119819452,19.356842157977212,-19.077059119819452,19.356842157977212,41.20006242321372,-40.00000039353065,-28.946767870318425,29.841338310747965,-12.464570126590889,12.603482741385891,-12.464570126590889,12.603482741385891,-12.464570126590889,12.603482741385891,-12.464570126590889,12.603482741385891,-12.464570126590889,12.603482741385891,30.68098173552141,-30.000000297825583,30.680981736137838,-30.00000029841592,30.680981735565524,-30.000000297867828,-29.051710855679527,29.6655097102918,30.68098171862895,-30.000000282202006,-29.167124379320775,29.823952620379426,-29.048949548303238,29.700719230519027,-28.865510611749645,29.47185726545738
3,-47.24247339577337,48.80752836232886,-38.75173876386776,39.81779017778737,-32.756464394177655,33.52816212679143,33.51433056781888,-32.70807380342353,30.414844724329754,-29.745079619285782,50.5533423912887,-48.76761586287345,33.51433056790325,-32.70807380350401,33.51433056786213,-32.708073803464785,33.514330567848795,-32.708073803452066,33.51433056762054,-32.708073803234335,-47.24247339577337,48.80752836232886,30.41484472384761,-29.74507961882387,30.41484472459082,-29.745079619535893,30.41484472430247,-29.74507961925964,-38.75173876386776,39.81779017778737,50.55334239126851,-48.76761586285465,-32.756464394177655,33.52816212679143,-32.756464394177655,33.52816212679143,-32.756464394177655,33.52816212679143,-32.756464394177655,33.52816212679143,-32.756464394177655,33.52816212679143,-28.865510604138283,29.471857259868745,30.68098173468214,-30.00000029505829,30.68098173851452,-30.000000298729386,-29.051710856629143,29.665509711299432,-29.085560663616693,29.70071924615806,-29.20402340157822,29.823952615811304,30.680981737002806,-30.00000029815675,30.680981733934605,-30.00000029544229
4,5.4935260941156585,-5.454931636233457,-38.75325925673515,39.81939141165031,17.194421375000445,-16.962775489986296,-4.566277661665899,4.597463232542981,4.700705704569141,-4.668577821332099,-14.010137434996386,14.171261520604977,-4.566277661665899,4.597463232542981,-4.566277661665899,4.597463232542981,-4.566277661665899,4.597463232542981,-4.566277661665899,4.597463232542981,5.4935260941156585,-5.454931636233457,4.700705704569141,-4.668577821332099,4.700705704569141,-4.668577821332099,4.700705704569141,-4.668577821332099,-38.75325925673515,39.81939141165031,-14.010137434996386,14.171261520604977,17.194421375000445,-16.962775489986296,17.194421375000445,-16.962775489986296,17.194421375000445,-16.962775489986296,17.194421375000445,-16.962775489986296,17.194421375000445,-16.962775489986296,3.6432412682177935,-3.6184320388665308,-4.152460063417385,4.180607149450459,30.6809808615635,-29.999999457107045,-29.051710065534294,29.66550888844443,-29.08556061708357,29.700719197754633,4.212595624688599,-4.184031496647654,30.680981684776842,-30.000000248767947,-3.5862456141370886,3.6107487009885153
