Lac,type,f_bus,t_bus,capacity,br_r,br_x,b_to,b_fr
5,AC_line,3,4,27.0,0.0033204062788550325,0.019518120960295475,4.4047891405475476e-5,4.4047891405475476e-5
6,AC_line,3,5,27.0,0.00385595567867036,0.02266620498614958,3.793012871027055e-5,3.793012871027055e-5
7,AC_line,3,6,58.0,0.0011964017774699907,0.0076682248384118195,0.00011215533980582526,0.00011215533980582526
