time_step,pg_1,qg_1,pg_2,qg_2,pg_3,qg_3,pg_4,qg_4,pg_5,qg_5,pg_6,qg_6,pg_7,qg_7,pg_8,qg_8,pg_9,qg_9,pg_10,qg_10,pg_11,qg_11,pg_12,qg_12,pg_13,qg_13,pg_14,qg_14,pg_15,qg_15,pg_16,qg_16,pg_17,qg_17,pg_18,qg_18,pg_19,qg_19,pg_20,qg_20,pg_21,qg_21,pg_22,qg_22,pg_23,qg_23,pg_24,qg_24,pg_25,qg_25,pg_26,qg_26,pg_27,qg_27,pg_28,qg_28,pg_29,qg_29,pg_30,qg_30,pd_1,qd_1,pd_2,qd_2,pd_3,qd_3,pd_4,qd_4,pd_5,qd_5,pd_6,qd_6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,4,Offshore Wind,Offshore_Wind_4,250,125,574.3386693,164.5195965,25.24762541,4.891913609,181.9839607,79.10974506,105.6670611,21.98967603,18.43723514,2.708377087,11.4664677,3.094274485,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,5,Offshore Wind,Offshore_Wind_5,40,20,0,73.79754054,34.87677107,6.108904648,167.3711523,340.4133764,0,2.240748351,0,1.594442171,0,2.585785475,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,6,Offshore Wind,Offshore_Wind_6,190,95,111.4625182,39.88656064,3.512192517,0.846826315,90.19564354,23.27056028,57.8170735,11.96290936,9.099318586,1.77053655,8.6844174,2.088843863,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,1,Conventional,Conventional_gen_1,400,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,2,Conventional,Conventional_gen_2,600,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,3,Conventional,Conventional_gen_3,1100,550,pd_1,qd_1,pd_2,qd_2,pd_3,qd_3,pd_4,qd_4,pd_5,qd_5,pd_6,qd_6,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,4,Conventional,Conventional_gen_4,970,485,524.4656989,254.0103312,700.4475372,339.2422255,1219.662404,590.7094625,1131.011653,547.7739443,1588.232186,769.2159554,723.0956856,350.2112244,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,5,Conventional,Conventional_gen_5,1450,725,621.3293808,300.9235535,698.7653245,338.4274928,1395.640015,675.9393095,1282.273834,621.0335624,1702.739161,824.6742142,841.7482282,407.6772736,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,6,Conventional,Conventional_gen_6,650,325,505.6914142,244.9175301,721.9819098,349.6717982,1332.586276,645.4009903,1201.630831,581.9763731,1658.636775,803.3144541,764.6559575,370.3397828,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,475.8797241,230.4790696,438.9851926,212.6102325,995.1549367,481.9755336,777.3187334,376.4726451,1144.90674,554.503642,469.8886937,227.5774812,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.17996,5.11591E-13,-135.6432097,0,251.5576003,13.75893824,-81.73254552,10.29593859,-194.025301,-1.157571092,-6.777999105,-1.338108188,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.8927136,0,84.02939202,-7.38964E-13,-192.9263149,12.61965793,26.05845113,1.292807849,-70.81896586,-0.735630296,-30.65053565,-0.123380749,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-432.5824238,-91.51142238,-228.8984077,-23.60729337,-995.6386646,-129.6370571,-1201.630831,-508.4286745,-1658.636775,-571.0464584,-764.6559575,-244.9482211,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.1588091,5.96856E-13,-135.6433199,0,154.462049,-2.764426205,-47.89597806,1.230904181,10.11326386,0.326837758,-53.04821606,5.145783845,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.34570795,62.65896463,120.5693431,1.247513261,0,63.6561404,84.07522395,3.017656326,141.9098833,0,160.9553456,46.48722221,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,117.2387826,186.7023722,78.8939823,248.8467205,13.58975866,328.6017829,90.94096095,368.2347982,94.22919108,52.15951356,11.13238299,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,148.4580709,457.0056274,80.20119354,1100,414.4055829,970,426.6281639,1450,549.3793785,650,276.0431814,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,22.80379818,374.7331622,107.0449272,210.1551174,139.1911684,422.0815498,151.281677,577.2210024,237.6023478,338.0117114,118.1048796,,,,,,,,,,,,,,,,,,,,,,,,
