time_step,pg_1,qg_1,pg_2,qg_2,pg_3,qg_3,pg_4,qg_4,pg_5,qg_5,pg_6,qg_6,pg_7,qg_7,pg_8,qg_8,pg_9,qg_9,pg_10,qg_10,pg_11,qg_11,pg_12,qg_12,pg_13,qg_13,pg_14,qg_14,pg_15,qg_15,pg_16,qg_16,pg_17,qg_17,pg_18,qg_18,pg_19,qg_19,pg_20,qg_20,pg_21,qg_21,pg_22,qg_22,pg_23,qg_23,pg_24,qg_24,pg_25,qg_25,pg_26,qg_26,pg_27,qg_27,pg_28,qg_28,pg_29,qg_29,pg_30,qg_30,pd_1,qd_1,pd_2,qd_2,pd_3,qd_3,pd_4,qd_4,pd_5,qd_5,pd_6,qd_6
1,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,146.37731780447712,46.87115714678587,75.22198413622326,36.399703351831,169.57645953494435,59.35695528494128,114.87579828911915,55.61396015118366,82.52271759098637,41.26135879549319,179.6744411044167,74.01015354122353,242.61404902037748,89.62481768501732,10.15168643999991,4.090035431573409,201.64354429472465,73.32402182854527,48.47853287499975,22.478715318451957,3.5940510376470556,1.7970255188235278,47.598591,14.030993384509825,310.0,117.51435638148033,479.4306569656448,298.75248673854213,1050.0,485.4880010551748,901.5152963047422,473.1212428497756,1318.3846797876017,720.0,535.7705557086848,264.04454786560734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,524.4656989139992,254.0103312132835,700.447537152,339.2422255219465,1219.662403533,590.7094624706968,1131.011652744,547.7739442531124,1588.232186231391,769.2159554068114,723.095685576,350.21122443733833
2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,250.88342519403162,58.19747589109155,344.2494633055913,112.42956146664467,169.57645953494435,84.78822976747217,561.2670071124297,209.9796910076972,531.7177577818577,193.00883575573178,201.790738387744,100.895369193872,574.3386692760351,179.70159051811285,25.247625407999998,4.891913608661231,181.9839607129587,90.99198035647935,105.667061125,22.46809918384586,18.43723513882352,2.719519209670706,11.4664677,5.73323385,0.0,63.02448711633979,413.29762784801005,221.1060176955493,896.054713143349,525.0,629.9101066535077,390.01215486409615,1081.317431961479,629.9807415393102,565.0,282.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,621.329380839,300.92355352554415,698.7653245440001,338.4274927708552,1395.6400147049999,675.9393095178569,1282.2738342480002,621.0335623814951,1702.739160575091,824.6742142395663,841.748228181,407.6772736161549
3,370.59392617280656,96.48151901506502,93.25765422848,23.60729337496298,696.4081202420105,171.18243973990403,1426.8437820741374,511.676458977402,1807.1846469257277,574.8267996925657,923.732344692706,253.03838090500872,73.10899044371199,28.87786689697681,315.2123584047569,100.15679373547387,169.57645953494435,39.79020102855129,0.0,12.935592011633219,0.0,55.06619563858129,0.0,75.8812789156013,0.0,78.69569561532077,34.876771065,6.108904647992549,167.3711522955589,347.4665713395848,0.0,2.240763543865971,0.0,1.594454446071451,0.0,2.5861772172538884,0.0,40.86244860900401,142.99437264197581,219.79880645947694,0.0,127.90678194946065,0.0,56.58688415508774,0.0,174.27832138165286,0.0,40.70841636146853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,505.69141422599995,244.91753013636665,721.981909818,349.67179821790637,1332.5862764610001,645.400990293628,1201.6308306150001,581.9763731215138,1658.6367750837,803.3144540700054,764.655957513,370.33978281949965
4,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,45.576015011221216,21.79648967993002,74.56284234695137,18.808333410205226,169.57645953494435,46.57401154778177,123.68723159365847,32.237180735575976,273.1416873693957,65.93208755976465,96.16777164169649,25.1965408967747,111.46251815375724,54.713897259260385,3.512192517,0.8468263146677073,90.19564354243106,23.667167488593254,57.81707349999974,12.027759183760157,9.09931858588232,1.7708670103473438,8.6844174,2.099834694748801,310.0,153.96868266914254,232.105114192777,192.95507276040152,922.0835919244535,409.73625676456925,579.4691315197251,332.9347714436146,885.480767301664,487.27850331988515,317.8801028410152,205.00538373552786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,475.879724064,230.47906960833294,438.985192626,212.61023248527445,995.154936651,481.9755335585921,777.318733377,376.4726450790421,1144.9067396499001,554.5036419902829,469.8886936914001,227.57748116812783
