time_step,pf_ac_1,pt_ac_1,qf_ac_1,qt_ac_1,pf_ac_2,pt_ac_2,qf_ac_2,qt_ac_2,pf_ac_3,pt_ac_3,qf_ac_3,qt_ac_3,pf_dc_1,pt_dc_1,pf_dc_2,pt_dc_2,pf_dc_3,pt_dc_3,pf_dc_4,pt_dc_4,pf_dc_5,pt_dc_5,pf_dc_6,pt_dc_6,pf_dc_7,pt_dc_7,pf_dc_8,pt_dc_8,pf_dc_9,pt_dc_9,pf_dc_10,pt_dc_10,pf_dc_11,pt_dc_11,pf_dc_12,pt_dc_12
1,12.729909083217548,-12.283396098665605,-0.815266813356151,3.43997406629888,8.044029554452093,-7.5893423660579575,8.830320589812464,-6.157563464068911,-54.643507642412295,57.969702297063485,19.444461921508235,1.8744703540023748,2.210720495752491,-2.208021044157431,100.0,-99.78197127381515,-79.6381707401114,80.0,28.349264821082752,-28.32203830389912,80.0,-79.61688665236207,23.19130538409555,-23.176611480301396,100.0,-99.61677987544613,-4.9792102210076585,5.0,26.87090027570964,-26.44718563393303,30.0,-29.66550969127727,10.191100056298719,-10.170784442543958,-29.700719211829384,30.0
2,-16.21622312925094,17.01639209224969,3.277196736586739,1.4263826741441017,-4.957096654853876,5.041506285754248,-0.5387028076447999,1.0348822651464604,6.151936671272466,-5.597478594899129,22.10241366202799,-18.548666690759585,7.5,-7.468907986855965,100.0,-99.78181090771973,80.0,-79.6390538744465,-57.82380376816872,57.93782568630385,10.689683187225556,-10.682797545845958,58.621185993256674,-58.526679304987425,68.07943620910886,-67.90168923810924,1.1571181514048328,-1.1559973155589585,30.0,-29.471857265457384,30.0,-29.6655097102918,30.0,-29.82395262037943,30.0,-29.700719230519027
3,-24.95984069722152,26.960316863504367,10.295938967007192,1.4633255664750948,-24.56535931030027,26.888492922288243,11.204603011770278,2.4513170888659257,-54.643507705917685,57.96970237451748,19.4444617850953,1.8744705798328012,2.1663058992132367,-2.1636951844440167,-99.78136262387095,100.0,-79.63558035557473,80.0,-99.66111152160214,100.0,-79.61782171365272,80.0,-99.72634513933284,100.0,-36.45963297605041,36.510494457943494,2.4698232211930224,-2.464769272050165,-29.47185725986874,30.0,30.0,-29.665509711299435,30.0,-29.823952615811297,-29.70071924615806,30.0
4,5.748917301355272,-5.658120842969835,-0.1933435678606429,0.7270662839086581,2.4744255098315446,-2.4544992220442445,-0.3606845420852219,0.4778158997142311,22.704888220833464,-22.1931078054185,-1.4440696477019175,4.724278158923538,-1.324817047318362,1.3257885515103005,-16.71245394710848,16.71855663238081,-79.6388141860283,80.0,10.878667042178526,-10.874664951909157,-5.5551693481935045,5.5570133859945265,24.05323473541612,-24.03745641378952,-18.322868228755535,18.335695916417478,1.1920121217410928,-1.1908348940409141,-1.6820030966518817,1.6836665914805016,22.776205142057716,-22.58340643567965,-12.598871017152726,12.630074250747656,-29.70071919775463,30.0
