time_step,vm_bus_1,va_bus_1,vm_bus_2,va_bus_2,vm_bus_3,va_bus_3,vm_bus_4,va_bus_4,vm_bus_5,va_bus_5,vm_bus_6,va_bus_6
1,1.1,0.0,1.1,0.0,1.1,-1.4582605400706762e-16,1.1,-0.44545954917116987,1.1,-0.5188413514469503,1.0999999757750898,0.025163960327226786
2,1.1,0.0,1.1,0.0,1.1,1.0446206713670638e-16,1.1,0.4350651407345905,1.1,0.18776593260140692,1.1,0.005220939048908723
3,1.1,0.0,1.1,0.0,1.1,-2.6392124158802767e-17,1.1,0.4454595530539311,1.1,0.5188413558295387,1.1,0.3741939620766955
4,1.1,0.0,1.1,0.0,1.1,-7.961816876243723e-24,1.0999999951433708,-0.09418063034421428,1.0924053772735445,-0.04751922081535353,1.099999979651752,-0.14622457458512894
