time_step,pg_1,qg_1,pg_2,qg_2,pg_3,qg_3,pg_4,qg_4,pg_5,qg_5,pg_6,qg_6,pg_7,qg_7,pg_8,qg_8,pg_9,qg_9,pg_10,qg_10,pg_11,qg_11,pg_12,qg_12,pg_13,qg_13,pg_14,qg_14,pg_15,qg_15,pg_16,qg_16,pg_17,qg_17,pg_18,qg_18,pg_19,qg_19,pg_20,qg_20,pg_21,qg_21,pg_22,qg_22,pg_23,qg_23,pg_24,qg_24,pg_25,qg_25,pg_26,qg_26,pg_27,qg_27,pg_28,qg_28,pg_29,qg_29,pg_30,qg_30,pd_1,qd_1,pd_2,qd_2,pd_3,qd_3,pd_4,qd_4,pd_5,qd_5,pd_6,qd_6
1,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,146.37731780447712,32.980998424628844,75.22198413622326,23.16922482815621,169.57645953494435,45.25420586469205,114.87579828911915,36.84618070506303,82.52271759098637,25.40741922774407,179.6744411044167,47.87268086232699,242.61404902037748,62.683412044170595,10.15168643999991,2.3727890625387387,201.64354429472465,54.86417645488026,48.47853287499975,12.160754847450788,3.5940510376470556,0.8308535496885509,47.598591,9.880799952276597,419.20960312336246,158.34592074448406,427.45172246461834,313.7002116312516,1120.095224253771,495.15922349739105,859.9409735946144,509.06294751795224,1298.9472858385288,754.1822856355506,481.6844153055883,291.90178247245933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,524.4656989139992,254.0103312132835,700.447537152,339.2422255219465,1219.662403533,590.7094624706968,1131.011652744,547.7739442531124,1588.232186231391,769.2159554068114,723.095685576,350.21122443733833
2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,250.88342519403162,47.67201538755608,344.2494633055913,99.57695472854077,169.57645953494435,53.929366628857856,561.2670071124297,184.70337563519038,531.7177577818577,168.4109252648534,201.790738387744,66.53221007743298,574.6256803644613,140.80203206046846,25.247625407999998,4.779079058421685,181.9839607129587,58.80449663426383,105.667061125,19.797109815347977,18.43723513882352,2.6343134919927755,11.4664677,2.776472025206167,9.883136330865644e-8,112.44950607751957,432.4381603163926,234.07145898389274,767.7026059834961,575.8251042592794,702.0681222441556,417.8258847509591,1101.2202921623525,652.8933451006164,588.0584299577982,338.24521083191735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,621.329380839,300.92355352554415,698.7653245440001,338.4274927708552,1395.6400147049999,675.9393095178569,1282.2738342480002,621.0335623814951,1702.739160575091,824.6742142395663,841.748228181,407.6772736161549
3,370.59392617280656,85.54784922768086,93.25765422848,22.443745752835518,696.4081202420105,168.67332031546022,1456.1628009304457,498.3196465811465,1807.1846469237657,556.6942764502793,923.7323446916495,237.94326672522334,105.76322570247373,27.128274226226274,315.2123584047569,89.00288289755957,169.57645953494435,39.648206400343284,0.0,12.932044969429377,0.0,54.88817274404664,0.0,70.98584027079173,0.0,67.92403041810529,34.876771065,5.862318809663856,170.69692807539698,317.16930885015853,0.0,2.240650766515404,0.0,1.5942897198942922,0.0,2.5852373460765063,0.0,64.31737626435421,91.0154382187235,232.36285075784744,0.0,160.8551585367523,0.0,69.94735635819691,0.0,192.58903222799498,0.0,60.6999089967974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,505.69141422599995,244.91753013636665,721.981909818,349.67179821790637,1332.5862764610001,645.400990293628,1201.6308306150001,581.9763731215138,1658.6367750837,803.3144540700054,764.655957513,370.33978281949965
4,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,45.576015011221216,11.117844670975634,74.56284234695137,18.30387783770707,169.57645953494435,42.51302888417582,123.68723159365847,31.041001909058743,273.1416873693957,62.973840188128946,96.16777164169649,22.768902061659528,111.46251815375724,29.167702420718957,3.512192517,0.8457561927976192,90.19564354243106,22.568359327776662,57.81707349999974,11.668535112591488,9.09931858588232,1.7672884476739084,8.6844174,2.081708521979258,531.7621035894829,190.19352251663832,188.18521622554357,193.46059845476978,864.2567805276954,414.33932702950113,506.999091907847,334.9940138823863,860.1678007968142,489.8813069696423,305.8307507326021,207.87265834763383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,475.879724064,230.47906960833294,438.985192626,212.61023248527445,995.154936651,481.9755335585921,777.318733377,376.4726450790421,1144.9067396499001,554.5036419902829,469.8886936914001,227.57748116812783
