time_step,pg_1,qg_1,pg_2,qg_2,pg_3,qg_3,pg_4,qg_4,pg_5,qg_5,pg_6,qg_6,pg_7,qg_7,pg_8,qg_8,pg_9,qg_9,pg_10,qg_10,pg_11,qg_11,pg_12,qg_12,pg_13,qg_13,pg_14,qg_14,pg_15,qg_15,pg_16,qg_16,pg_17,qg_17,pg_18,qg_18,pg_19,qg_19,pg_20,qg_20,pg_21,qg_21,pg_22,qg_22,pg_23,qg_23,pg_24,qg_24,pg_25,qg_25,pg_26,qg_26,pg_27,qg_27,pg_28,qg_28,pg_29,qg_29,pg_30,qg_30,pd_1,qd_1,pd_2,qd_2,pd_3,qd_3,pd_4,qd_4,pd_5,qd_5,pd_6,qd_6
1,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,146.37731780447712,42.45534136337387,75.22198413622326,36.39970335183099,169.57645953494435,58.88598289666377,114.87579828911915,57.437875592858425,82.52271759098637,41.26135879549319,179.6744411044167,73.42343496131163,242.61404902037748,82.26890182432713,10.15168643999991,4.090035431573403,201.64354429472465,72.75409516132835,48.47853287499975,24.239241489291135,3.5940510376470556,1.7970255188235278,47.598591,13.849328257816328,333.6542920636646,129.28608802558253,479.4306569003882,298.75248673854213,1050.0,484.1642281691228,887.9888585723198,474.99998192982173,1318.3846797737983,720.0,527.5919213093217,263.2171560154845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,524.4656989139992,254.0103312132835,700.447537152,339.2422255219465,1219.662403533,590.7094624706968,1131.011652744,547.7739442531124,1588.232186231391,769.2159554068114,723.095685576,350.21122443733833
2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,250.88342519403162,55.54586975084755,344.2494633055913,112.42956146664469,169.57645953494435,84.78822976747217,561.2670071124297,209.9796910074613,531.7177577818577,193.0088357558815,201.790738387744,100.895369193872,574.3386692760351,171.14168158923525,25.247625407999998,4.891913608661231,181.9839607129587,90.99198035647935,105.667061125,22.46809918395346,18.43723513882352,2.7195192096734306,11.4664677,5.73323385,0.0,74.23600218546134,413.2976278480101,221.1060176955493,896.0547131452997,525.0,629.9101066512216,390.01215486307353,1081.3174319614664,629.9807415392595,565.0,282.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,621.329380839,300.92355352554415,698.7653245440001,338.4274927708552,1395.6400147049999,675.9393095178569,1282.2738342480002,621.0335623814951,1702.739160575091,824.6742142395663,841.748228181,407.6772736161549
3,370.59392617280656,93.5601516551864,93.25765422848,23.60729337496298,696.4081202420105,171.18243942722575,1426.843782074141,511.67645897738237,1807.1846469257187,574.8267996925573,923.7323446927142,253.03838091012594,73.10899044346081,28.39722793806149,315.2123584047569,100.15679373547387,169.57645953494435,39.79020100610435,0.0,12.935592011633275,0.0,55.06619563858238,0.0,75.8812789127736,0.0,75.81622261273004,34.876771065,6.108904647992548,167.37115229556665,347.4665667440255,0.0,2.240763543865973,0.0,1.5944544460714518,0.0,2.586177217252896,0.0,47.143927930388735,142.99437264197581,219.79880645947696,0.0,127.9067868799562,0.0,56.586884155131905,0.0,174.27832138167096,0.0,40.70841635940688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,505.69141422599995,244.91753013636665,721.981909818,349.67179821790637,1332.5862764610001,645.400990293628,1201.6308306150001,581.9763731215138,1658.6367750837,803.3144540700054,764.655957513,370.33978281949965
4,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,45.576015011221216,15.726865697803184,74.56284234695137,18.808333410205226,169.57645953494435,46.52527385343759,123.68723159365847,32.24686125193012,273.1416873693957,65.93208694180723,96.16777164169649,25.215606655178725,111.46251815375724,46.13757637576028,3.512192517,0.8468263146677073,90.19564354243106,23.653623992695675,57.81707349999974,12.03068480844903,9.09931858588232,1.770867009586772,8.6844174,2.099981465410096,360.0,168.61462753476945,225.26636778762946,192.95507276040152,904.3401580540348,409.0764043150928,563.7666367868928,333.29843170182374,879.0140532128073,487.2784935947208,314.82704448921027,205.337725144346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,475.879724064,230.47906960833294,438.985192626,212.61023248527445,995.154936651,481.9755335585921,777.318733377,376.4726450790421,1144.9067396499001,554.5036419902829,469.8886936914001,227.57748116812783
