time_step,pf_ac_1,pt_ac_1,qf_ac_1,qt_ac_1,pf_ac_2,pt_ac_2,qf_ac_2,qt_ac_2,pf_ac_3,pt_ac_3,qf_ac_3,qt_ac_3,pf_dc_1,pt_dc_1,pf_dc_2,pt_dc_2,pf_dc_3,pt_dc_3,pf_dc_4,pt_dc_4,pf_dc_5,pt_dc_5,pf_dc_6,pt_dc_6,pf_dc_7,pt_dc_7,pf_dc_8,pt_dc_8,pf_dc_9,pt_dc_9,pf_dc_10,pt_dc_10,pf_dc_11,pt_dc_11,pf_dc_12,pt_dc_12
1,24.551795418703726,-22.895758152847577,0.8314177467938987,8.903154758858644,8.04402956044938,-7.589342371630998,8.830320592111395,-6.1575634638738075,-47.33970190943936,49.79106791660995,15.433105417512703,0.2786947972740684,2.210720498056064,-2.208021046461027,100.0,-99.7819713536542,-79.6381707702927,80.0,28.34926483358789,-28.322038317905,80.0,-79.61688666090438,23.191305400942795,-23.176611499474856,100.0,-99.61677987645795,-4.9792102209952676,5.0,30.0,-29.47185726059716,30.0,-29.665509707205448,30.0,-29.82395260862219,-29.700719233968684,30.0
2,-16.216223127670435,17.016392090527077,3.277196736902258,1.4263826729931666,-4.95709665423625,5.041506285116807,-0.5387028078630542,1.0348822652482312,6.151936670360064,-5.597478594001904,22.10241366193063,-18.54866669075953,7.5,-7.468907986855965,100.0,-99.78181090771973,80.0,-79.63905387444649,-57.82380376816867,57.93782568630383,10.689683186993046,-10.682797545613736,58.62118599416274,-58.52667930589051,68.07943620874421,-67.90168923774648,1.157118151451382,-1.155997315605417,30.0,-29.47185726545738,30.0,-29.6655097102918,30.0,-29.82395262037943,30.0,-29.700719230519027
3,-24.959840697215824,26.960316863503593,10.295938967013042,1.4633255664997222,-24.565359310291772,26.888492922286602,11.204603011803954,2.4513170888768614,-54.64350770590929,57.96970237451049,19.444461784866846,1.8744705800597126,2.166305899213237,-2.163695184444017,-99.78136262387095,100.0,-79.63558035557475,80.0,-99.66111152160214,100.0,-79.6178217136527,80.0,-99.72634513933285,100.0,-36.45963297605041,36.5104944579435,2.4698232211930224,-2.4647692720501655,-29.471857259868745,30.0,30.0,-29.665509711299432,30.0,-29.823952615811304,-29.70071924615806,30.0
4,5.720858573209836,-5.630155761674618,-0.57016044509551,1.103332683160829,2.4744267641736455,-2.4545004804783637,-0.3606742222567414,0.47780555583191575,22.701936178417984,-22.18918424466196,-1.7893967300137463,5.075832096806971,0.33365127533203137,-0.3335897634109038,10.576211997134884,-10.573772267741484,-79.63878282330062,80.0,1.369884835172986,-1.3698213691680157,-6.281455150308031,6.28381309411036,27.02181224549683,-27.001897237752658,-11.043722525805403,11.048380003526942,1.3421181876910917,-1.340625803457298,3.618432038866531,-3.610748700988515,29.999999457107045,-29.665508888444432,-4.180607149450459,4.184031496647654,-29.700719197754633,30.0
