time_step,pg_1,qg_1,pg_2,qg_2,pg_3,qg_3,pg_4,qg_4,pg_5,qg_5,pg_6,qg_6,pg_7,qg_7,pg_8,qg_8,pg_9,qg_9,pg_10,qg_10,pg_11,qg_11,pg_12,qg_12,pg_13,qg_13,pg_14,qg_14,pg_15,qg_15,pg_16,qg_16,pg_17,qg_17,pg_18,qg_18,pg_19,qg_19,pg_20,qg_20,pg_21,qg_21,pg_22,qg_22,pg_23,qg_23,pg_24,qg_24,pg_25,qg_25,pg_26,qg_26,pg_27,qg_27,pg_28,qg_28,pg_29,qg_29,pg_30,qg_30,pd_1,qd_1,pd_2,qd_2,pd_3,qd_3,pd_4,qd_4,pd_5,qd_5,pd_6,qd_6
1,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,146.37731780447712,28.388639526141567,75.22198413622326,19.645070206457188,169.57645953494435,40.192220851699076,114.87579828911915,28.25472877443382,82.52271759098637,20.061438834427747,179.6744411044167,38.40958000389325,242.61404902037748,51.38969720652516,10.15168643999991,2.294307889366475,201.64354429472465,47.653648566901765,48.47853287499975,10.010021360114267,3.5940510376470556,0.8191659739875808,47.598591,9.120508727097853,419.2096017883017,174.2319944806168,427.45172253160746,317.30284742612287,1120.0952258722614,507.43173935746495,859.9409736914578,519.8051327361137,1298.9472858752993,759.5399536034831,481.68441478057446,302.12517177997717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,524.4656989139992,254.0103312132835,700.447537152,339.2422255219465,1219.662403533,590.7094624706968,1131.011652744,547.7739442531124,1588.232186231391,769.2159554068114,723.095685576,350.21122443733833
2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,250.88342519403162,39.58611347389059,344.2494633055913,88.29985895533986,169.57645953494435,40.75642323673175,561.2670071124297,132.91180667588134,531.7177577818577,118.55919785830869,201.790738387744,43.60976508443354,574.6256803644613,101.02642575338828,25.247625407999998,4.701876782643871,181.9839607129587,43.87185146244462,105.667061125,16.58806229660586,18.43723513882352,2.537107304527898,11.4664677,2.705046782334101,4.104598359734668e-7,160.3110142982653,432.4381591092254,245.4257570328715,767.7026094300908,603.9306923834804,702.06811905308,472.826500589757,1101.220292109971,702.8422784801865,588.0584302795672,361.23908037426656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,621.329380839,300.92355352554415,698.7653245440001,338.4274927708552,1395.6400147049999,675.9393095178569,1282.2738342480002,621.0335623814951,1702.739160575091,824.6742142395663,841.748228181,407.6772736161549
3,370.59392617280656,79.02093789992274,93.25765422848,21.625415666873973,696.4081202420105,162.61071128110206,1456.1628008942319,449.7543798206051,1807.1846468936064,498.82289486701444,923.7323446726163,212.37912979256788,105.76322576634425,26.128397640490395,315.2123584047569,79.49973888024257,169.57645953494435,39.30837195864876,8.773993163222017e-9,12.919647281289851,8.77399316881899e-9,54.35644090250295,8.77399317051008e-9,62.95061974342559,8.773993176764542e-9,61.498789177129254,34.876771065,5.691891621719655,170.69692830912737,235.10231962991557,0.0,2.2402561726404846,0.0,1.5937975498111818,0.0,2.5837156487735147,0.0,78.26940541882426,91.01543830948273,242.85475204907016,0.0,249.32459111904154,0.0,118.52541546620024,0.0,250.99263789639434,0.0,94.30078843516941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,505.69141422599995,244.91753013636665,721.981909818,349.67179821790637,1332.5862764610001,645.400990293628,1201.6308306150001,581.9763731215138,1658.6367750837,803.3144540700054,764.655957513,370.33978281949965
4,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,45.576015011221216,10.571845878985256,74.56284234695137,17.992605405094142,169.57645953494435,39.81710472844156,123.68723159365847,29.75729427541585,273.1416873693957,58.34598549855536,96.16777164169649,21.806559910954316,111.46251815375724,25.852696780907625,3.512192517,0.8450999475057218,90.19564354243106,21.86027139762735,57.81707349999974,11.286485634905327,9.09931858588232,1.7618387648236156,8.6844174,2.0747098342426007,531.7621064492298,194.05452694844007,188.1852168949463,193.77252713267458,864.2567970049116,417.74334757236255,506.99910767627455,336.65977055548467,860.1677582405478,494.51460602983786,305.83075769509753,208.8419964222303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,475.879724064,230.47906960833294,438.985192626,212.61023248527445,995.154936651,481.9755335585921,777.318733377,376.4726450790421,1144.9067396499001,554.5036419902829,469.8886936914001,227.57748116812783
